BUSK;BUSM;R;X;G;B;BSH;PMAX;QMAX;SMAX;IMAX;ST
33;1;0,0922;0,047;8,608905455;-4,388487596;0;1000000000;1000000000;1000000000;300;1
1;2;0,493;0,2511;1,610583671;-0,820319594;0;1000000000;1000000000;1000000000;300;1
2;3;0,366;0,1864;2,169519367;-1,104913689;0;1000000000;1000000000;1000000000;300;1
3;4;0,3811;0,1941;2,083515343;-1,061165909;0;1000000000;1000000000;1000000000;300;1
4;5;0,819;0,707;0,699635233;-0,60395862;0;1000000000;1000000000;1000000000;300;1
5;6;0,1872;0,6188;0,447892665;-1,480534087;0;1000000000;1000000000;1000000000;300;1
6;7;0,7114;0,2351;1,267275017;-0,418802863;0;1000000000;1000000000;1000000000;300;1
7;8;1,03;0,74;0,64034815;-0,460055953;0;1000000000;1000000000;1000000000;300;1
8;9;1,044;0,74;0,637543236;-0,451898462;0;1000000000;1000000000;1000000000;300;1
9;10;0,1966;0,065;4,585255907;-1,515979827;0;1000000000;1000000000;1000000000;300;1
10;11;0,3744;0,1238;2,407689171;-0,796132263;0;1000000000;1000000000;1000000000;300;1
11;12;1,468;1,155;0,420745022;-0,331035764;0;1000000000;1000000000;1000000000;300;1
12;13;0,5416;0,7129;0,675684973;-0,88939405;0;1000000000;1000000000;1000000000;300;1
13;14;0,591;0,526;0,944154311;-0,840313312;0;1000000000;1000000000;1000000000;300;1
14;15;0,7463;0,545;0,873899161;-0,638181754;0;1000000000;1000000000;1000000000;300;1
15;16;1,289;1,721;0,278801444;-0,372239941;0;1000000000;1000000000;1000000000;300;1
16;17;0,732;0,574;0,845949382;-0,66335375;0;1000000000;1000000000;1000000000;300;1
1;18;0,164;0,1565;3,191391028;-3,045443268;0;1000000000;1000000000;1000000000;300;1
18;19;1,5042;1,3554;0,366902497;-0,330607396;0;1000000000;1000000000;1000000000;300;1
19;20;0,4095;0,4784;1,03263893;-1,206384528;0;1000000000;1000000000;1000000000;300;1
20;21;0,7089;0,9373;0,513297475;-0,678676433;0;1000000000;1000000000;1000000000;300;1
2;22;0,4512;0,3083;1,510898106;-1,032380067;0;1000000000;1000000000;1000000000;300;1
22;23;0,898;0,7091;0,685901017;-0,541617384;0;1000000000;1000000000;1000000000;300;1
23;24;0,896;0,7011;0,692235492;-0,541658821;0;1000000000;1000000000;1000000000;300;1
5;25;0,203;0,1034;3,911325812;-1,992271374;0;1000000000;1000000000;1000000000;300;1
25;26;0,2842;0,1447;2,794281221;-1,422704056;0;1000000000;1000000000;1000000000;300;1
26;27;1,059;0,9337;0,531286;-0,468424682;0;1000000000;1000000000;1000000000;300;1
27;28;0,8042;0,7006;0,706940535;-0,615869857;0;1000000000;1000000000;1000000000;300;1
28;29;0,5075;0,2585;1,564530325;-0,79690855;0;1000000000;1000000000;1000000000;300;1
29;30;0,9744;0,963;0,519174847;-0,513100757;0;1000000000;1000000000;1000000000;300;1
30;31;0,3105;0,3619;1,365544287;-1,591595741;0;1000000000;1000000000;1000000000;300;1
31;32;0,341;0,5302;0,858092532;-1,334195486;0;1000000000;1000000000;1000000000;300;1
7;20;2;2;0,25;-0,25;0;1000000000;1000000000;1000000000;300;0
8;14;2;2;0,25;-0,25;0;1000000000;1000000000;1000000000;300;0
11;21;2;2;0,25;-0,25;0;1000000000;1000000000;1000000000;300;0
17;32;0,5;0,5;1;-1;0;1000000000;1000000000;1000000000;300;0
24;28;0,5;0,5;1;-1;0;1000000000;1000000000;1000000000;300;0
