BUS;VMIN;VMAX;PHMIN;PHMAX
1;0,85;1,1;-1,570796327;1,570796327
2;0,85;1,1;-1,570796327;1,570796327
3;0,85;1,1;-1,570796327;1,570796327
4;0,85;1,1;-1,570796327;1,570796327
5;0,85;1,1;-1,570796327;1,570796327
6;0,85;1,1;-1,570796327;1,570796327
7;0,85;1,1;-1,570796327;1,570796327
8;0,85;1,1;-1,570796327;1,570796327
9;0,85;1,1;-1,570796327;1,570796327
10;0,85;1,1;-1,570796327;1,570796327
11;0,85;1,1;-1,570796327;1,570796327
12;0,85;1,1;-1,570796327;1,570796327
13;0,85;1,1;-1,570796327;1,570796327
14;0,85;1,1;-1,570796327;1,570796327
15;0,85;1,1;-1,570796327;1,570796327
16;0,85;1,1;-1,570796327;1,570796327
17;0,85;1,1;-1,570796327;1,570796327
18;0,85;1,1;-1,570796327;1,570796327
19;0,85;1,1;-1,570796327;1,570796327
20;0,85;1,1;-1,570796327;1,570796327
21;0,85;1,1;-1,570796327;1,570796327
22;0,85;1,1;-1,570796327;1,570796327
23;0,85;1,1;-1,570796327;1,570796327
24;0,85;1,1;-1,570796327;1,570796327
25;0,85;1,1;-1,570796327;1,570796327
26;0,85;1,1;-1,570796327;1,570796327
27;0,85;1,1;-1,570796327;1,570796327
28;0,85;1,1;-1,570796327;1,570796327
29;0,85;1,1;-1,570796327;1,570796327
30;0,85;1,1;-1,570796327;1,570796327
31;0,85;1,1;-1,570796327;1,570796327
32;0,85;1,1;-1,570796327;1,570796327
33;1;1;0;0
